Year,Fixed_Total_Cost_kr,Current_Total_Cost_kr,Forecast_Students
2024,241382071334.27792,222742215979.77325,1656913.3157841458
2025,252481249907.37006,232984302703.63873,1690582.957385033
2026,263200874476.46243,242876144475.24463,1719221.6221421733
2027,274141473317.57962,252971897895.9998,1746709.5732910377
2028,285421584433.3426,263380943385.3954,1774247.5390313494
2029,295617196200.5389,272789236985.98563,1792718.0640450967
2030,305065403523.5252,281507840598.1415,1804934.5965492204
